train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate,mean_time_to_failure,mean_pre_fault_return,mean_post_fault_return
0.0,0.0,0,0.0,100,242.55670374267223,51.42213008861124,0.88,0.0,343.39,242.55670374267223,0.0
0.0,0.05,0,0.05,100,232.7471933428276,71.28361485094572,0.85,0.0,322.68,237.29444198210658,-4.547248639278999
0.0,0.1,0,0.1,100,226.06024269134642,84.86622670237988,0.82,0.01,336.43,226.44156651156726,-0.3813238202208302
0.0,0.15,0,0.15,100,222.2016722460455,86.35232323141705,0.82,0.01,317.49,226.4109758882662,-4.209303642220727
0.0,0.2,0,0.2,100,211.95373732078755,100.83884736375089,0.78,0.02,300.26,219.34553779423038,-7.391800473442829
0.0,0.25,0,0.25,100,194.7984766124816,133.18454053196436,0.75,0.04,307.23,205.07442959413248,-10.275952981650871
0.0,0.0,42,0.0,100,239.25753967452837,54.66471091732877,0.85,0.0,384.18,239.25753967452837,0.0
0.0,0.05,42,0.05,100,232.36387896468113,85.6897588203117,0.89,0.01,293.77,234.17999490660904,-1.8161159419279056
0.0,0.1,42,0.1,100,217.6349271179533,96.31006405633234,0.82,0.02,304.9,227.2834893096251,-9.648562191671815
0.0,0.15,42,0.15,100,217.1479861624409,91.92667948900169,0.82,0.01,304.54,219.3390160198296,-2.191029857388728
0.0,0.2,42,0.2,100,204.6505140544017,116.2275859620905,0.78,0.02,287.46,206.69765562474694,-2.04714157034525
0.0,0.25,42,0.25,100,198.19706056801573,118.62371291319155,0.75,0.03,290.25,199.5540547754482,-1.3569942074324706
0.0,0.0,1729,0.0,100,256.6303947508912,44.56272633487979,0.9,0.0,327.93,256.6303947508912,0.0
0.0,0.05,1729,0.05,100,248.13249888541267,55.42282364938071,0.85,0.0,326.51,247.54599193339843,0.5865069520142473
0.0,0.1,1729,0.1,100,239.99912629220512,75.21861637284195,0.85,0.01,281.56,242.45303092287824,-2.453904630673138
0.0,0.15,1729,0.15,100,233.88031900876757,84.3840821845183,0.85,0.0,253.79,229.4394491622449,4.440869846522659
0.0,0.2,1729,0.2,100,213.42623851072884,107.26834942626229,0.76,0.02,275.73,214.7982888963991,-1.3720503856703044
0.0,0.25,1729,0.25,100,184.7653866485364,122.09373803299748,0.64,0.04,283.64,190.28947014295517,-5.52408349441877
0.0,0.0,6174,0.0,100,238.95900469415602,44.59758647190658,0.89,0.0,357.82,238.95900469415602,0.0
0.0,0.05,6174,0.05,100,231.518395896095,57.90933833719516,0.88,0.0,342.04,233.19921724203218,-1.6808213459371768
0.0,0.1,6174,0.1,100,229.06272418876074,70.53376701714876,0.89,0.0,306.97,229.59021238717705,-0.5274881984163268
0.0,0.15,6174,0.15,100,209.63592747707108,107.45975778773582,0.82,0.02,301.45,221.78812474181282,-12.152197264741703
0.0,0.2,6174,0.2,100,209.9037614858945,113.55147134584736,0.81,0.02,323.19,222.47747628918898,-12.573714803294486
0.0,0.25,6174,0.25,100,205.0644145514314,119.13724281509874,0.81,0.04,292.21,211.56400356275677,-6.499589011325427
0.0,0.0,196,0.0,100,267.5992028304681,30.64473640926969,0.95,0.0,275.73,267.5992028304681,0.0
0.0,0.05,196,0.05,100,252.74167285041153,69.98909374232815,0.91,0.01,258.53,254.5195934439672,-1.7779205935556797
0.0,0.1,196,0.1,100,248.904387665641,76.40239721343,0.91,0.01,262.38,249.7789986473558,-0.8746109817147714
0.0,0.15,196,0.15,100,235.51643802165384,110.73621636938115,0.86,0.01,241.74,238.85417890875476,-3.337740887100947
0.0,0.2,196,0.2,100,216.4814474836272,135.91675232605516,0.8,0.04,248.56,227.3772890325223,-10.89584154889516
0.0,0.25,196,0.25,100,196.24809369068743,148.4383800204359,0.76,0.06,235.11,208.04216458663143,-11.794070895944037
